No,Nama,Rating,Comments,Link
82,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.9,3,Respon baik pengiriman cepat cuma satu yang kurang barang tidak sesuai versi yang saya pesa,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
83,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.10,3,Berfungsi baik dengan pengisian 3-5jam dan kapasitas charging memadai.,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
84,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.11,3,"Bisa untuk charge iphone 7 3 kali sampe full, bisa untuk airpods",https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
85,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,Type yg dtg berbeda dgn yg dipesan pdhl harganya beda..,https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
86,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,"Agak kecewa sama warnanya karna ngga sesuai sama pesanan, pesan ungu yg datang pink",https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
87,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,bikin panas hp,https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
88,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,lucu dan ringan,https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
89,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,"Barang nya sih bagus cuma ada lecet dikit kek tapak kuku tangan dus nya sedikit penyok,dus plastik yang di dalem juga pecah ngk tau kenapa dan kek piling nya ini barang nya kek udah pak sih,pengiriman sedikit lambat dari 12 tempe tanggal 17 mungkin karna banyaknya pedanan",https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
90,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,pengemasannya kurang safe,https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
91,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,"berfungsi dengan baik, sayangnya pesan hitam dan ungu datangnya pink dan putih",https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
92,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,"Barang nya lumayan, cuma Pengiriman lama, dan paling tidak memuaskan penjual tidak ramah. Pembeli menanyakan tidak diberi respon yang baik ditanya apa jawab apa",https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
93,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,"Usb nya ada 2 tapi 1 tidak berfungsi, tolong sblm kirim lakukan pengecekan terlebih dahulu",https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
94,Powerbank 10000mAh LCD Display Power Bank Fast Charging Dual Inputs Outputs Batteries Real Capacity Gadgets,3,"Barang berfungsi dengan baik, tp kemasan sdh terbuka segelnya",https://shopee.co.id/Powerbank-10000mAh-LCD-Display-Power-Bank-Fast-Charging-Dual-Inputs-Outputs-Batteries-Real-Capacity-Gadgets-i.227057943.12135864924?sp_atk=d7c83660-5582-4399-b251-8f129d361dc8&xptdk=d7c83660-5582-4399-b251-8f129d361dc8
95,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,3,"PENGIRIMAN LAMA, HARGA MAHAL, KUALITAS BIASA AJA. MASA DARITADI DI PAKE BUAT NGECAS HP EH GAK NAMBAH2.",https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
96,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,3,"Barang sudah sampai dengan aman, tapi prosesnya pengemasan sampai pengiriman sangat lama. Kondisi pb nya bagus hanya saja untuk dipakai ngecharge tidka terlallu cepat menambah isi batrenya.",https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
97,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,3,Pengiriman terlalu lambat. Namun barang bagus !,https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
98,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,3,Pengiriman lama. Slow respon di chat. Selalu jawaban templet. Produk bagus tapi pelayanan kurang,https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
99,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,3,Barang sesuai pesanan tapi sayang pelayanan blm maksimal..,https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
100,PowerBank VIVAN 10000mah VPB-X10 20W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging,3,"Biasa aja gak fast carging , batrenya cepat habis juga",https://shopee.co.id/PowerBank-VIVAN-10000mah-VPB-X10-20W-3-Output-Dual-Input-Port-Type-C-Micro-USB-Original-Fast-Charging-Quick-Charging-PD-3.0-QC-3.0-Real-Capacity-LED-Indicator-Garansi-Resmi-1-Tahun-i.11722931.3294408215?sp_atk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd&xptdk=4da4ee0e-e90c-4d22-a2b9-9128d4a089dd
